status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
R,docs/03-pages/01-building-your-application/01-routing/01-pages-and-layouts.mdx,docs/02-pages/03-building-your-application/01-routing/01-pages-and-layouts.mdx,pages/building-your-application/routing/pages-and-layouts,pages/docs/pages/building-your-application/routing/pages-and-layouts.mdx,UPDATE_REQUIRED,P0,0,0,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/02-dynamic-routes.mdx,docs/02-pages/03-building-your-application/01-routing/02-dynamic-routes.mdx,pages/building-your-application/routing/dynamic-routes,pages/docs/pages/building-your-application/routing/dynamic-routes.mdx,UPDATE_REQUIRED,P0,0,0,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/03-linking-and-navigating.mdx,docs/02-pages/03-building-your-application/01-routing/03-linking-and-navigating.mdx,pages/building-your-application/routing/linking-and-navigating,pages/docs/pages/building-your-application/routing/linking-and-navigating.mdx,UPDATE_REQUIRED,P0,1,8,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/05-custom-app.mdx,docs/02-pages/03-building-your-application/01-routing/05-custom-app.mdx,pages/building-your-application/routing/custom-app,pages/docs/pages/building-your-application/routing/custom-app.mdx,UPDATE_REQUIRED,P0,3,3,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/06-custom-document.mdx,docs/02-pages/03-building-your-application/01-routing/06-custom-document.mdx,pages/building-your-application/routing/custom-document,pages/docs/pages/building-your-application/routing/custom-document.mdx,UPDATE_REQUIRED,P0,3,3,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/07-api-routes.mdx,docs/02-pages/03-building-your-application/01-routing/07-api-routes.mdx,pages/building-your-application/routing/api-routes,pages/docs/pages/building-your-application/routing/api-routes.mdx,UPDATE_REQUIRED,P0,45,9,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/08-custom-error.mdx,docs/02-pages/03-building-your-application/01-routing/08-custom-error.mdx,pages/building-your-application/routing/custom-error,pages/docs/pages/building-your-application/routing/custom-error.mdx,UPDATE_REQUIRED,P0,1,1,pages/building-your-application
R,docs/03-pages/01-building-your-application/01-routing/index.mdx,docs/02-pages/03-building-your-application/01-routing/index.mdx,pages/building-your-application/routing,pages/docs/pages/building-your-application/routing.mdx,UPDATE_REQUIRED,P0,0,0,pages/building-your-application
R,docs/03-pages/01-building-your-application/02-rendering/01-server-side-rendering.mdx,docs/02-pages/03-building-your-application/02-rendering/01-server-side-rendering.mdx,pages/building-your-application/rendering/server-side-rendering,pages/docs/pages/building-your-application/rendering/server-side-rendering.mdx,UPDATE_REQUIRED,P0,0,0,pages/building-your-application
R,docs/03-pages/01-building-your-application/02-rendering/02-static-site-generation.mdx,docs/02-pages/03-building-your-application/02-rendering/02-static-site-generation.mdx,pages/building-your-application/rendering/static-site-generation,pages/docs/pages/building-your-application/rendering/static-site-generation.mdx,UPDATE_REQUIRED,P0,25,16,pages/building-your-application
R,docs/03-pages/01-building-your-application/02-rendering/04-automatic-static-optimization.mdx,docs/02-pages/03-building-your-application/02-rendering/04-automatic-static-optimization.mdx,pages/building-your-application/rendering/automatic-static-optimization,pages/docs/pages/building-your-application/rendering/automatic-static-optimization.mdx,UPDATE_REQUIRED,P0,2,2,pages/building-your-application
R,docs/03-pages/01-building-your-application/02-rendering/05-client-side-rendering.mdx,docs/02-pages/03-building-your-application/02-rendering/05-client-side-rendering.mdx,pages/building-your-application/rendering/client-side-rendering,pages/docs/pages/building-your-application/rendering/client-side-rendering.mdx,UPDATE_REQUIRED,P0,2,3,pages/building-your-application
R,docs/03-pages/01-building-your-application/02-rendering/index.mdx,docs/02-pages/03-building-your-application/02-rendering/index.mdx,pages/building-your-application/rendering,pages/docs/pages/building-your-application/rendering.mdx,UPDATE_REQUIRED,P0,0,0,pages/building-your-application
R,docs/03-pages/02-api-reference/01-components/font.mdx,docs/02-pages/04-api-reference/01-components/font.mdx,pages/api-reference/components/font,pages/docs/pages/api-reference/components/font.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/head.mdx,docs/02-pages/04-api-reference/01-components/head.mdx,pages/api-reference/components/head,pages/docs/pages/api-reference/components/head.mdx,UPDATE_REQUIRED,P0,4,10,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/image-legacy.mdx,docs/02-pages/04-api-reference/01-components/image-legacy.mdx,pages/api-reference/components/image-legacy,pages/docs/pages/api-reference/components/image-legacy.mdx,UPDATE_REQUIRED,P0,92,39,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/image.mdx,docs/02-pages/04-api-reference/01-components/image.mdx,pages/api-reference/components/image,pages/docs/pages/api-reference/components/image.mdx,UPDATE_REQUIRED,P0,1,1,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/index.mdx,docs/02-pages/04-api-reference/01-components/index.mdx,pages/api-reference/components,pages/docs/pages/api-reference/components.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/link.mdx,docs/02-pages/04-api-reference/01-components/link.mdx,pages/api-reference/components/link,pages/docs/pages/api-reference/components/link.mdx,UPDATE_REQUIRED,P0,2,2,pages/api-reference
R,docs/03-pages/02-api-reference/01-components/script.mdx,docs/02-pages/04-api-reference/01-components/script.mdx,pages/api-reference/components/script,pages/docs/pages/api-reference/components/script.mdx,UPDATE_REQUIRED,P0,1,1,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/get-initial-props.mdx,docs/02-pages/04-api-reference/03-functions/get-initial-props.mdx,pages/api-reference/functions/get-initial-props,pages/docs/pages/api-reference/functions/get-initial-props.mdx,UPDATE_REQUIRED,P0,2,2,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/get-server-side-props.mdx,docs/02-pages/04-api-reference/03-functions/get-server-side-props.mdx,pages/api-reference/functions/get-server-side-props,pages/docs/pages/api-reference/functions/get-server-side-props.mdx,UPDATE_REQUIRED,P0,8,8,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/get-static-paths.mdx,docs/02-pages/04-api-reference/03-functions/get-static-paths.mdx,pages/api-reference/functions/get-static-paths,pages/docs/pages/api-reference/functions/get-static-paths.mdx,UPDATE_REQUIRED,P0,13,13,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/get-static-props.mdx,docs/02-pages/04-api-reference/03-functions/get-static-props.mdx,pages/api-reference/functions/get-static-props,pages/docs/pages/api-reference/functions/get-static-props.mdx,UPDATE_REQUIRED,P0,21,21,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/index.mdx,docs/02-pages/04-api-reference/03-functions/index.mdx,pages/api-reference/functions,pages/docs/pages/api-reference/functions.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/next-request.mdx,docs/02-pages/04-api-reference/03-functions/next-request.mdx,pages/api-reference/functions/next-request,pages/docs/pages/api-reference/functions/next-request.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/next-response.mdx,docs/02-pages/04-api-reference/03-functions/next-response.mdx,pages/api-reference/functions/next-response,pages/docs/pages/api-reference/functions/next-response.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/use-report-web-vitals.mdx,docs/02-pages/04-api-reference/03-functions/use-report-web-vitals.mdx,pages/api-reference/functions/use-report-web-vitals,pages/docs/pages/api-reference/functions/use-report-web-vitals.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/use-router.mdx,docs/02-pages/04-api-reference/03-functions/use-router.mdx,pages/api-reference/functions/use-router,pages/docs/pages/api-reference/functions/use-router.mdx,UPDATE_REQUIRED,P0,79,7,pages/api-reference
R,docs/03-pages/02-api-reference/02-functions/userAgent.mdx,docs/02-pages/04-api-reference/03-functions/userAgent.mdx,pages/api-reference/functions/userAgent,pages/docs/pages/api-reference/functions/userAgent.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/06-edge.mdx,docs/02-pages/04-api-reference/06-edge.mdx,pages/api-reference/edge,pages/docs/pages/api-reference/edge.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
R,docs/03-pages/02-api-reference/index.mdx,docs/02-pages/04-api-reference/index.mdx,pages/api-reference,pages/docs/pages/api-reference.mdx,UPDATE_REQUIRED,P0,0,0,pages/api-reference
