status	old_path	new_path	additions	deletions	section
R	docs/02-app/01-building-your-application/11-upgrading/03-version-14.mdx	docs/01-app/02-guides/upgrading/version-14.mdx	9	8	app/guides
A		docs/01-app/02-guides/upgrading/version-15.mdx	603	0	app/guides
A		docs/01-app/02-guides/upgrading/version-16.mdx	1167	0	app/guides
R	docs/02-app/01-building-your-application/06-optimizing/02-videos.mdx	docs/01-app/02-guides/videos.mdx	12	11	app/guides
A		docs/01-app/03-api-reference/01-directives/index.mdx	6	0	app/api-reference
A		docs/01-app/03-api-reference/01-directives/use-cache-private.mdx	176	0	app/api-reference
A		docs/01-app/03-api-reference/01-directives/use-cache-remote.mdx	606	0	app/api-reference
A		docs/01-app/03-api-reference/01-directives/use-cache.mdx	663	0	app/api-reference
A		docs/01-app/03-api-reference/01-directives/use-client.mdx	123	0	app/api-reference
A		docs/01-app/03-api-reference/01-directives/use-server.mdx	161	0	app/api-reference
A		docs/01-app/03-api-reference/02-components/font.mdx	1068	0	app/api-reference
A		docs/01-app/03-api-reference/02-components/form.mdx	406	0	app/api-reference
A		docs/01-app/03-api-reference/02-components/image.mdx	1390	0	app/api-reference
R	docs/02-app/02-api-reference/01-components/index.mdx	docs/01-app/03-api-reference/02-components/index.mdx	0	0	app/api-reference
A		docs/01-app/03-api-reference/02-components/link.mdx	1292	0	app/api-reference
R	docs/02-app/02-api-reference/01-components/script.mdx	docs/01-app/03-api-reference/02-components/script.mdx	11	11	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/app-icons.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/app-icons.mdx	27	18	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/index.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/index.mdx	4	1	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/manifest.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/manifest.mdx	2	2	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/opengraph-image.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/opengraph-image.mdx	64	49	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/robots.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/robots.mdx	1	1	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/01-metadata/sitemap.mdx	docs/01-app/03-api-reference/03-file-conventions/01-metadata/sitemap.mdx	132	6	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/default.mdx	66	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/dynamic-routes.mdx	375	0	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/error.mdx	docs/01-app/03-api-reference/03-file-conventions/error.mdx	135	17	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/forbidden.mdx	50	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/index.mdx	4	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/instrumentation-client.mdx	224	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/instrumentation.mdx	139	0	app/api-reference
R	docs/02-app/01-building-your-application/01-routing/12-intercepting-routes.mdx	docs/01-app/03-api-reference/03-file-conventions/intercepting-routes.mdx	6	6	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/layout.mdx	681	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/loading.mdx	185	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/mdx-components.mdx	60	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/not-found.mdx	233	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/page.mdx	239	0	app/api-reference
R	docs/02-app/01-building-your-application/01-routing/11-parallel-routes.mdx	docs/01-app/03-api-reference/03-file-conventions/parallel-routes.mdx	34	32	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/proxy.mdx	744	0	app/api-reference
R	docs/02-app/01-building-your-application/06-optimizing/11-static-assets.mdx	docs/01-app/03-api-reference/03-file-conventions/public-folder.mdx	2	7	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/route-groups.mdx	32	0	app/api-reference
R	docs/02-app/02-api-reference/02-file-conventions/route-segment-config.mdx	docs/01-app/03-api-reference/03-file-conventions/route-segment-config.mdx	35	41	app/api-reference
R	docs/02-app/01-building-your-application/01-routing/13-route-handlers.mdx	docs/01-app/03-api-reference/03-file-conventions/route.mdx	180	125	app/api-reference
R	docs/02-app/01-building-your-application/07-configuring/06-src-directory.mdx	docs/01-app/03-api-reference/03-file-conventions/src-folder.mdx	9	8	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/template.mdx	160	0	app/api-reference
A		docs/01-app/03-api-reference/03-file-conventions/unauthorized.mdx	114	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/after.mdx	183	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/cacheLife.mdx	481	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/cacheTag.mdx	199	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/connection.mdx	58	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/cookies.mdx	301	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/draft-mode.mdx	137	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/fetch.mdx	104	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/forbidden.mdx	172	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/generate-image-metadata.mdx	docs/01-app/03-api-reference/04-functions/generate-image-metadata.mdx	63	16	app/api-reference
R	docs/02-app/02-api-reference/04-functions/generate-metadata.mdx	docs/01-app/03-api-reference/04-functions/generate-metadata.mdx	353	168	app/api-reference
R	docs/02-app/02-api-reference/04-functions/generate-sitemaps.mdx	docs/01-app/03-api-reference/04-functions/generate-sitemaps.mdx	16	9	app/api-reference
R	docs/02-app/02-api-reference/04-functions/generate-static-params.mdx	docs/01-app/03-api-reference/04-functions/generate-static-params.mdx	188	25	app/api-reference
R	docs/02-app/02-api-reference/04-functions/generate-viewport.mdx	docs/01-app/03-api-reference/04-functions/generate-viewport.mdx	54	7	app/api-reference
A		docs/01-app/03-api-reference/04-functions/headers.mdx	73	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/image-response.mdx	212	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/index.mdx	docs/01-app/03-api-reference/04-functions/index.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/next-request.mdx	docs/01-app/03-api-reference/04-functions/next-request.mdx	24	52	app/api-reference
R	docs/02-app/02-api-reference/04-functions/next-response.mdx	docs/01-app/03-api-reference/04-functions/next-response.mdx	61	4	app/api-reference
R	docs/02-app/02-api-reference/04-functions/not-found.mdx	docs/01-app/03-api-reference/04-functions/not-found.mdx	3	2	app/api-reference
R	docs/02-app/02-api-reference/04-functions/permanentRedirect.mdx	docs/01-app/03-api-reference/04-functions/permanentRedirect.mdx	4	3	app/api-reference
R	docs/02-app/02-api-reference/04-functions/redirect.mdx	docs/01-app/03-api-reference/04-functions/redirect.mdx	90	11	app/api-reference
A		docs/01-app/03-api-reference/04-functions/refresh.mdx	69	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/revalidatePath.mdx	195	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/revalidateTag.mdx	136	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/unauthorized.mdx	234	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/unstable_cache.mdx	docs/01-app/03-api-reference/04-functions/unstable_cache.mdx	30	24	app/api-reference
R	docs/02-app/02-api-reference/04-functions/unstable_noStore.mdx	docs/01-app/03-api-reference/04-functions/unstable_noStore.mdx	11	7	app/api-reference
R	docs/02-app/02-api-reference/04-functions/unstable_rethrow.mdx	docs/01-app/03-api-reference/04-functions/unstable_rethrow.mdx	10	8	app/api-reference
A		docs/01-app/03-api-reference/04-functions/updateTag.mdx	153	0	app/api-reference
A		docs/01-app/03-api-reference/04-functions/use-link-status.mdx	242	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-params.mdx	docs/01-app/03-api-reference/04-functions/use-params.mdx	3	3	app/api-reference
A		docs/01-app/03-api-reference/04-functions/use-pathname.mdx	156	0	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-report-web-vitals.mdx	docs/01-app/03-api-reference/04-functions/use-report-web-vitals.mdx	78	63	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-router.mdx	docs/01-app/03-api-reference/04-functions/use-router.mdx	15	12	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-search-params.mdx	docs/01-app/03-api-reference/04-functions/use-search-params.mdx	23	12	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-selected-layout-segment.mdx	docs/01-app/03-api-reference/04-functions/use-selected-layout-segment.mdx	2	2	app/api-reference
R	docs/02-app/02-api-reference/04-functions/use-selected-layout-segments.mdx	docs/01-app/03-api-reference/04-functions/use-selected-layout-segments.mdx	3	3	app/api-reference
R	docs/02-app/02-api-reference/04-functions/userAgent.mdx	docs/01-app/03-api-reference/04-functions/userAgent.mdx	14	6	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/adapterPath.mdx	365	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/allowedDevOrigins.mdx	18	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/appDir.mdx	11	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/assetPrefix.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/assetPrefix.mdx	23	14	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/authInterrupts.mdx	33	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/basePath.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/basePath.mdx	0	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/browserDebugInfoInTerminal.mdx	134	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/cacheComponents.mdx	40	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/cacheHandlers.mdx	429	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/cacheLife.mdx	81	0	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/compress.mdx	22	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/crossOrigin.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/crossOrigin.mdx	1	1	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/cssChunking.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/cssChunking.mdx	8	6	app/api-reference
A		docs/01-app/03-api-reference/05-config/01-next-config-js/devIndicators.mdx	59	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/distDir.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/distDir.mdx	0	0	app/api-reference
R	docs/02-app/02-api-reference/05-next-config-js/env.mdx	docs/01-app/03-api-reference/05-config/01-next-config-js/env.mdx	5	4	app/api-reference
