status,old_path,new_path,normalized_path,ko_path,action,priority,additions,deletions,section
A,,docs/01-app/02-guides/migrating/from-create-react-app.mdx,app/guides/migrating/from-create-react-app,,NEW_TRANSLATION,P2,587,0,app/guides
R,docs/02-app/01-building-your-application/11-upgrading/05-from-vite.mdx,docs/01-app/02-guides/migrating/from-vite.mdx,app/guides/migrating/from-vite,,REMOVE_OR_REDIRECT,P2,33,39,app/guides
A,,docs/01-app/02-guides/migrating/index.mdx,app/guides/migrating,,NEW_TRANSLATION,P2,4,0,app/guides
A,,docs/01-app/02-guides/multi-tenant.mdx,app/guides/multi-tenant,,NEW_TRANSLATION,P2,7,0,app/guides
R,docs/02-app/01-building-your-application/10-deploying/03-multi-zones.mdx,docs/01-app/02-guides/multi-zones.mdx,app/guides/multi-zones,,REMOVE_OR_REDIRECT,P2,62,9,app/guides
R,docs/02-app/01-building-your-application/06-optimizing/10-open-telemetry.mdx,docs/01-app/02-guides/open-telemetry.mdx,app/guides/open-telemetry,,REMOVE_OR_REDIRECT,P2,24,21,app/guides
A,,docs/01-app/02-guides/package-bundling.mdx,app/guides/package-bundling,,NEW_TRANSLATION,P2,279,0,app/guides
A,,docs/01-app/02-guides/prefetching.mdx,app/guides/prefetching,,NEW_TRANSLATION,P2,368,0,app/guides
A,,docs/01-app/02-guides/production-checklist.mdx,app/guides/production-checklist,,NEW_TRANSLATION,P2,152,0,app/guides
A,,docs/01-app/02-guides/progressive-web-apps.mdx,app/guides/progressive-web-apps,,NEW_TRANSLATION,P2,658,0,app/guides
A,,docs/01-app/02-guides/public-static-pages.mdx,app/guides/public-static-pages,,NEW_TRANSLATION,P2,253,0,app/guides
R,docs/02-app/01-building-your-application/01-routing/07-redirecting.mdx,docs/01-app/02-guides/redirecting.mdx,app/guides/redirecting,,REMOVE_OR_REDIRECT,P2,80,54,app/guides
R,docs/02-app/01-building-your-application/05-styling/03-sass.mdx,docs/01-app/02-guides/sass.mdx,app/guides/sass,,REMOVE_OR_REDIRECT,P2,49,6,app/guides
R,docs/02-app/01-building-your-application/06-optimizing/05-scripts.mdx,docs/01-app/02-guides/scripts.mdx,app/guides/scripts,,REMOVE_OR_REDIRECT,P2,54,7,app/guides
A,,docs/01-app/02-guides/self-hosting.mdx,app/guides/self-hosting,,NEW_TRANSLATION,P2,272,0,app/guides
A,,docs/01-app/02-guides/single-page-applications.mdx,app/guides/single-page-applications,,NEW_TRANSLATION,P2,424,0,app/guides
R,docs/02-app/01-building-your-application/10-deploying/02-static-exports.mdx,docs/01-app/02-guides/static-exports.mdx,app/guides/static-exports,,REMOVE_OR_REDIRECT,P2,27,25,app/guides
A,,docs/01-app/02-guides/tailwind-v3-css.mdx,app/guides/tailwind-v3-css,,NEW_TRANSLATION,P2,173,0,app/guides
R,docs/02-app/01-building-your-application/08-testing/04-cypress.mdx,docs/01-app/02-guides/testing/cypress.mdx,app/guides/testing/cypress,,REMOVE_OR_REDIRECT,P2,13,14,app/guides
R,docs/02-app/01-building-your-application/08-testing/index.mdx,docs/01-app/02-guides/testing/index.mdx,app/guides/testing,,REMOVE_OR_REDIRECT,P2,4,4,app/guides
R,docs/02-app/01-building-your-application/08-testing/02-jest.mdx,docs/01-app/02-guides/testing/jest.mdx,app/guides/testing/jest,,REMOVE_OR_REDIRECT,P2,22,20,app/guides
R,docs/02-app/01-building-your-application/08-testing/03-playwright.mdx,docs/01-app/02-guides/testing/playwright.mdx,app/guides/testing/playwright,,REMOVE_OR_REDIRECT,P2,3,5,app/guides
R,docs/02-app/01-building-your-application/08-testing/01-vitest.mdx,docs/01-app/02-guides/testing/vitest.mdx,app/guides/testing/vitest,,REMOVE_OR_REDIRECT,P2,10,12,app/guides
R,docs/02-app/01-building-your-application/06-optimizing/12-third-party-libraries.mdx,docs/01-app/02-guides/third-party-libraries.mdx,app/guides/third-party-libraries,,REMOVE_OR_REDIRECT,P2,20,10,app/guides
A,,docs/01-app/02-guides/upgrading/codemods.mdx,app/guides/upgrading/codemods,,NEW_TRANSLATION,P1,721,0,app/guides
A,,docs/01-app/02-guides/upgrading/index.mdx,app/guides/upgrading,,NEW_TRANSLATION,P1,7,0,app/guides
R,docs/02-app/01-building-your-application/11-upgrading/03-version-14.mdx,docs/01-app/02-guides/upgrading/version-14.mdx,app/guides/upgrading/version-14,,REMOVE_OR_REDIRECT,P1,9,8,app/guides
A,,docs/01-app/02-guides/upgrading/version-15.mdx,app/guides/upgrading/version-15,,NEW_TRANSLATION,P1,603,0,app/guides
A,,docs/01-app/02-guides/upgrading/version-16.mdx,app/guides/upgrading/version-16,,NEW_TRANSLATION,P1,1167,0,app/guides
R,docs/02-app/01-building-your-application/06-optimizing/02-videos.mdx,docs/01-app/02-guides/videos.mdx,app/guides/videos,,REMOVE_OR_REDIRECT,P2,12,11,app/guides
A,,docs/01-app/03-api-reference/01-directives/index.mdx,app/api-reference/directives,,NEW_TRANSLATION,P0,6,0,app/api-reference
A,,docs/01-app/03-api-reference/01-directives/use-cache-private.mdx,app/api-reference/directives/use-cache-private,,NEW_TRANSLATION,P0,176,0,app/api-reference
A,,docs/01-app/03-api-reference/01-directives/use-cache-remote.mdx,app/api-reference/directives/use-cache-remote,,NEW_TRANSLATION,P0,606,0,app/api-reference
A,,docs/01-app/03-api-reference/01-directives/use-cache.mdx,app/api-reference/directives/use-cache,,NEW_TRANSLATION,P0,663,0,app/api-reference
A,,docs/01-app/03-api-reference/01-directives/use-client.mdx,app/api-reference/directives/use-client,,NEW_TRANSLATION,P0,123,0,app/api-reference
A,,docs/01-app/03-api-reference/01-directives/use-server.mdx,app/api-reference/directives/use-server,,NEW_TRANSLATION,P0,161,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/font.mdx,app/api-reference/components/font,pages/docs/app/api-reference/components/font.mdx,UPDATE_REQUIRED,P0,1068,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/form.mdx,app/api-reference/components/form,,NEW_TRANSLATION,P0,406,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/image.mdx,app/api-reference/components/image,pages/docs/app/api-reference/components/image.mdx,UPDATE_REQUIRED,P0,1390,0,app/api-reference
R,docs/02-app/02-api-reference/01-components/index.mdx,docs/01-app/03-api-reference/02-components/index.mdx,app/api-reference/components,pages/docs/app/api-reference/components.mdx,UPDATE_REQUIRED,P0,0,0,app/api-reference
A,,docs/01-app/03-api-reference/02-components/link.mdx,app/api-reference/components/link,pages/docs/app/api-reference/components/link.mdx,UPDATE_REQUIRED,P0,1292,0,app/api-reference
R,docs/02-app/02-api-reference/01-components/script.mdx,docs/01-app/03-api-reference/02-components/script.mdx,app/api-reference/components/script,pages/docs/app/api-reference/components/script.mdx,UPDATE_REQUIRED,P0,11,11,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/app-icons.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/app-icons.mdx,app/api-reference/file-conventions/metadata/app-icons,pages/docs/app/api-reference/file-conventions/metadata/app-icons.mdx,UPDATE_REQUIRED,P0,27,18,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/index.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/index.mdx,app/api-reference/file-conventions/metadata,pages/docs/app/api-reference/file-conventions/metadata.mdx,UPDATE_REQUIRED,P0,4,1,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/manifest.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/manifest.mdx,app/api-reference/file-conventions/metadata/manifest,pages/docs/app/api-reference/file-conventions/metadata/manifest.mdx,UPDATE_REQUIRED,P0,2,2,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/opengraph-image.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/opengraph-image.mdx,app/api-reference/file-conventions/metadata/opengraph-image,pages/docs/app/api-reference/file-conventions/metadata/opengraph-image.mdx,UPDATE_REQUIRED,P0,64,49,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/robots.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/robots.mdx,app/api-reference/file-conventions/metadata/robots,pages/docs/app/api-reference/file-conventions/metadata/robots.mdx,UPDATE_REQUIRED,P0,1,1,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/01-metadata/sitemap.mdx,docs/01-app/03-api-reference/03-file-conventions/01-metadata/sitemap.mdx,app/api-reference/file-conventions/metadata/sitemap,pages/docs/app/api-reference/file-conventions/metadata/sitemap.mdx,UPDATE_REQUIRED,P0,132,6,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/default.mdx,app/api-reference/file-conventions/default,pages/docs/app/api-reference/file-conventions/default.mdx,UPDATE_REQUIRED,P0,66,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/dynamic-routes.mdx,app/api-reference/file-conventions/dynamic-routes,,NEW_TRANSLATION,P0,375,0,app/api-reference
R,docs/02-app/02-api-reference/02-file-conventions/error.mdx,docs/01-app/03-api-reference/03-file-conventions/error.mdx,app/api-reference/file-conventions/error,pages/docs/app/api-reference/file-conventions/error.mdx,UPDATE_REQUIRED,P0,135,17,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/forbidden.mdx,app/api-reference/file-conventions/forbidden,,NEW_TRANSLATION,P0,50,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/index.mdx,app/api-reference/file-conventions,pages/docs/app/api-reference/file-conventions.mdx,UPDATE_REQUIRED,P0,4,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/instrumentation-client.mdx,app/api-reference/file-conventions/instrumentation-client,,NEW_TRANSLATION,P0,224,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/instrumentation.mdx,app/api-reference/file-conventions/instrumentation,pages/docs/app/api-reference/file-conventions/instrumentation.mdx,UPDATE_REQUIRED,P0,139,0,app/api-reference
R,docs/02-app/01-building-your-application/01-routing/12-intercepting-routes.mdx,docs/01-app/03-api-reference/03-file-conventions/intercepting-routes.mdx,app/api-reference/file-conventions/intercepting-routes,,REMOVE_OR_REDIRECT,P0,6,6,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/layout.mdx,app/api-reference/file-conventions/layout,pages/docs/app/api-reference/file-conventions/layout.mdx,UPDATE_REQUIRED,P0,681,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/loading.mdx,app/api-reference/file-conventions/loading,pages/docs/app/api-reference/file-conventions/loading.mdx,UPDATE_REQUIRED,P0,185,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/mdx-components.mdx,app/api-reference/file-conventions/mdx-components,pages/docs/app/api-reference/file-conventions/mdx-components.mdx,UPDATE_REQUIRED,P0,60,0,app/api-reference
A,,docs/01-app/03-api-reference/03-file-conventions/not-found.mdx,app/api-reference/file-conventions/not-found,pages/docs/app/api-reference/file-conventions/not-found.mdx,UPDATE_REQUIRED,P0,233,0,app/api-reference
